,Symbol,Name
0,060310,3S
1,095570,AJ네트웍스
2,006840,AK홀딩스
3,054620,APS
4,265520,AP시스템
5,211270,AP위성
6,109960,AP헬스케어
7,139050,BF랩스
8,027410,BGF
9,282330,BGF리테일
10,126600,BGF에코머티리얼즈
11,138930,BNK금융지주
12,001460,BYC
13,001465,BYC우
14,013720,CBI
15,083790,CG인바이츠
16,001040,CJ
17,079160,CJ CGV
18,035760,CJ ENM
19,311690,CJ 바이오사이언스
20,00104K,CJ4우(전환)
21,000120,CJ대한통운
22,011150,CJ씨푸드
23,011155,CJ씨푸드1우
24,001045,CJ우
25,097950,CJ제일제당
26,097955,CJ제일제당 우
27,051500,CJ프레시웨이
28,058820,CMG제약
29,023460,CNH
30,056730,CNT85
31,000480,CR홀딩스
32,065770,CS
33,083660,CSA 코스믹
34,000590,CS홀딩스
35,012030,DB
36,456440,DB금융스팩11호
37,477760,DB금융스팩12호
38,016610,DB금융투자
39,005830,DB손해보험
40,000990,DB하이텍
41,139130,DGB금융지주
42,099520,DGI
43,060900,DGP
44,290120,DH오토리드
45,025440,DH오토웨어
46,001530,DI동일
47,000210,DL
48,000215,DL우
49,375500,DL이앤씨
50,37550L,DL이앤씨2우(전환)
51,37550K,DL이앤씨우
52,068790,DMS
53,007340,DN오토모티브
54,004840,DRB동일
55,241520,DSC인베스트먼트
56,155660,DSR
57,069730,DSR제강
58,017860,DS단석
59,180400,DXVX
60,017940,E1
61,245620,EDGC
62,037370,EG
63,278990,EMB
64,365550,ESR켄달스퀘어리츠
65,050120,ES큐브
66,383220,F&F
67,007700,F&F홀딩스
68,214270,FSN
69,130500,GH신소재
70,114090,GKL
71,900290,GRT
72,078930,GS
73,083450,GST
74,006360,GS건설
75,001250,GS글로벌
76,007070,GS리테일
77,078935,GS우
78,297890,HB솔루션
79,440290,HB인베스트먼트
80,078150,HB테크놀러지
81,012630,HDC
82,039570,HDC랩스
83,089470,HDC현대EP
84,294870,HDC현대산업개발
85,009540,HD한국조선해양
86,267250,HD현대
87,267270,HD현대건설기계
88,443060,HD현대마린솔루션
89,071970,HD현대마린엔진
90,010620,HD현대미포
91,322000,HD현대에너지솔루션
92,042670,HD현대인프라코어
93,267260,HD현대일렉트릭
94,329180,HD현대중공업
95,097230,HJ중공업
96,195940,HK이노엔
97,014790,HL D&I
98,028300,HLB
99,003580,HLB글로벌
100,278650,HLB바이오스텝
101,343090,HLB사이언스
102,067630,HLB생명과학
103,024850,HLB이노베이션
104,047920,HLB제약
105,115450,HLB테라퓨틱스
106,046210,HLB파나진
107,204320,HL만도
108,060980,HL홀딩스
109,011200,HMM
110,403870,HPSP
111,036640,HRS
112,035000,HS애드
113,002460,HS화성
114,487570,HS효성
115,439730,IBKS제20호스팩
116,442770,IBKS제21호스팩
117,448760,IBKS제22호스팩
118,467930,IBKS제23호스팩
119,469480,IBKS제24호스팩
120,003560,IHQ
121,095340,ISC
122,175330,JB금융지주
123,950170,JTC
124,234080,JW생명과학
125,067290,JW신약
126,001060,JW중외제약
127,001067,JW중외제약2우B
128,001065,JW중외제약우
129,096760,JW홀딩스
130,035900,JYP Ent.
131,318000,KBG
132,024840,KBI메탈
133,105560,KB금융
134,432320,KB스타리츠
135,024120,KB오토시스
136,455250,KB제25호스팩
137,458320,KB제26호스팩
138,464680,KB제27호스팩
139,476470,KB제28호스팩
140,478390,KB제29호스팩
141,486630,KB제30호스팩
142,002380,KCC
143,021320,KCC건설
144,344820,KCC글라스
145,036670,KCI
146,009070,KCTC
147,009440,KC그린홀딩스
148,112190,KC산업
149,119650,KC코트렐
150,044180,KD
151,092220,KEC
152,046440,KG모빌리언스
153,003620,KG모빌리티
154,016380,KG스틸
155,151860,KG에코솔루션
156,035600,KG이니시스
157,001390,KG케미칼
158,226360,KH 건설
159,111870,KH 미래물산
160,033180,KH 필룩스
161,060720,KH바텍
162,015590,KIB플러그에너지
163,001940,KISCO홀딩스
164,058400,KNN
165,025000,KPX케미칼
166,092230,KPX홀딩스
